
ENCRYPTION
Plaintext P: 0100110001010111010011000101011101001100010101110100110001010111
Key K: 01101011000101001001111001001110010110100111100100010101
Ciphertext C: 1000111001001101001011000111100110000101001100000100011111110101
Avalanche:
P and Pi under K
Round     DES0     DES1     DES2     DES3
   0       1        1        1        1
   1       30       30       6        2
   2       37       32       7        1
   3       34       34       5        1
   4       28       31       6        2
   5       40       24       9        1
   6       24       30       5        1
   7       38       32       8        2
   8       35       41       5        1
   9       33       32       11       1
   10      31       20       10       2
   11      28       36       7        1
   12      28       36       7        1
   13      30       31       4        2
   14      30       31       9        1
   15      29       27       9        1
   16      30       39       4        2
Average bit difference: 17.890625

P under K and Ki
Round     DES0     DES1     DES2     DES3
   0       0        0        0        0
   1       30       28       5        1
   2       30       31       7        1
   3       28       36       5        0
   4       29       31       6        1
   5       30       37       11       1
   6       31       39       6        0
   7       39       36       7        1
   8       33       31       7        1
   9       26       33       9        0
   10      36       32       6        1
   11      26       29       9        1
   12      39       39       12       0
   13      27       27       4        1
   14      33       40       5        1
   15      27       27       7        0
   16      29       32       9        1
Average bit difference: 17.921875
